file,error,tier,pigment_score,defects,confidence,dark_frac,brown_frac,purple_frac,glare_frac,area_frac,median_purple_chroma,median_chroma,median_hue_deg,bg_a,bg_b,sprout_status,sprout_regions,sprout_reach,sprout_ratio
19-177-Purple-Yam-Royalty-Free-Images-001_jpg.rf.001318948ee8be83745b776b83a7e7a2.jpg,,reject,5.0,browning;rot,0.3,0.274,0.16,0.489,0.13,0.944,7.0,14.4,350.2,-0.1,2.7,none,0,0.0,0.0
Analytical-Data-Purple-Yam-KLTfruits_jpg.rf.2b93f6ec74269e986a0066fd577041d4.jpg,,reject,13.8,pale_flesh,0.85,0.043,0.115,0.478,0.0,0.355,10.5,14.8,359.6,0.0,0.0,none,0,0.0,0.0
Dag-Vers-Purple-Yam-Amazing-Oriental_png.rf.7daa596817cb4874bbb2d9f2bdc4d5f6.jpg,,reject,0.0,browning;rot,0.7,0.558,0.247,0.298,0.0,0.622,-4.4,9.6,69.4,0.0,0.0,none,0,0.0,0.0
Fresh-Purple-Yam-Premium-Quality-at_jpg.rf.ef63ca5e4333fadca728f8809e94b662.jpg,,reject,79.7,rot,0.7,0.269,0.0,0.739,0.0,0.599,36.9,37.2,313.6,8.2,8.6,none,0,0.0,0.0
Frozen-Purple-Yam-Ube-Without-Stem-IQF_jpg.rf.2aabf30cdfd9d3127d777c4817e8f84b.jpg,,seed,100.0,,0.7,0.128,0.001,0.851,0.0,0.567,77.7,77.7,324.4,4.3,3.6,none,0,0.0,0.0
Frozen-Purple-Yam-Whole_Halfcut_Cube_jpg.rf.b423f4bd649ba9741565bec3438d30ac.jpg,,reject,0.0,browning;rot,0.85,0.35,0.243,0.392,0.0,0.422,-1.7,7.9,41.2,0.5,-4.6,none,0,0.0,0.0
How-to-Grow-Ube-Winged-Yam-Self_jpg.rf.c5e061a99b0ebc1cfc5a721a7232acfa.jpg,,seed,78.9,,0.7,0.005,0.0,0.892,0.0,0.699,36.5,36.7,317.5,2.7,3.4,budding,1,0.106,0.0135
How-to-Plant-Grow-and-Care-for-Ube-001_jpg.rf.7de57d0f891efcb7519fc5ff41fca090.jpg,,reject,31.8,browning,0.4,0.11,0.183,0.521,0.015,0.972,17.7,20.7,325.5,-0.3,7.6,sprouting,1,0.121,0.0359
Okinawan-Sweet-Potatoes-Melissas-Produce_jpg.rf.feb34bb0e13d12609b3d104756966699.jpg,,industrial,70.6,,0.85,0.015,0.011,0.484,0.005,0.234,33.3,39.9,356.1,0.0,0.0,none,0,0.0,0.0
Purple-Sweet-Potato-approx-350-400g_jpg.rf.fec2c4f001720f8940d3526924cb3d7a.jpg,,reject,52.6,browning;rot,0.85,0.347,0.209,0.669,0.022,0.31,26.0,26.3,334.3,0.0,0.0,none,0,0.0,0.0
Purple-Sweet-Potatoes-Must-Try_jpg.rf.e871eefe12c1d1bfefb41c3361d75d8f.jpg,,industrial,78.8,browning,0.85,0.027,0.219,0.556,0.0,0.363,36.5,35.6,326.7,0.0,0.0,none,0,0.0,0.0
Purple-Yam-_-Ube-1-kilo-Lunti-Plant-001_jpg.rf.5ebd646c462b0416cbdd45c9989a0c59.jpg,,reject,0.0,browning;rot,0.4,0.183,0.218,0.47,0.017,0.998,4.5,12.1,332.6,-0.4,-7.6,none,0,0.0,0.0
Purple-Yam-_-Ube-1-kilo-Lunti-Plant-003_jpg.rf.b918394ff07c6f06de7097c3c89003fb.jpg,,reject,18.8,pale_flesh,0.4,0.104,0.048,0.526,0.007,0.921,12.5,19.5,337.7,1.3,11.2,budding,1,0.07,0.0144
Purple-Yam-_-Water-Yam_jpg.rf.ea4449cdfa92dd93a01acabbeaebf6de.jpg,,reject,60.5,rot,0.4,0.261,0.003,0.78,0.008,0.997,29.2,28.3,332.9,-9.0,10.9,budding,1,0.069,0.0072
PURPLE-YAM-FROZEN-Fruit-Offer_jpg.rf.22361a467c78dc648b656b171c413607.jpg,,industrial,67.9,,0.8,0.0,0.0,0.997,0.002,0.585,32.1,32.6,310.5,4.1,1.3,sprouting,1,0.231,0.2429
Purple-yam-ube-Dioscorea-alata_jpg.rf.dda5caa16660acc778748bd20d35cd9b.jpg,,reject,100.0,rot,0.4,0.253,0.0,0.825,0.0,0.853,60.0,60.2,322.8,-2.1,-0.4,budding,2,0.089,0.0357
Purple-yam_Baiduwiki_jpg.rf.d33cb97223af24dfdac26600d0fe27c3.jpg,,seed,100.0,,0.3,0.052,0.083,0.777,0.267,0.922,64.3,64.3,317.9,9.7,6.8,budding,1,0.115,0.009
rot1.jpg,,reject,0.0,rot,0.95,0.182,0.04,0.209,0.0,0.331,2.4,3.6,331.1,3.6,9.1,none,0,0.0,0.0
rot10.jpg,,reject,0.0,rot,0.8,0.451,0.109,0.111,0.0,0.538,1.3,3.3,31.6,0.9,4.4,none,0,0.0,0.0
rot2.jpg,,reject,0.0,browning;rot,0.95,0.298,0.583,0.05,0.0,0.379,-0.6,13.3,43.6,-1.2,-1.1,none,0,0.0,0.0
rot3.jpg,,reject,0.0,browning;rot,0.95,0.356,0.429,0.099,0.0,0.265,1.3,10.5,31.2,-0.4,2.2,none,0,0.0,0.0
rot4.jpg,,reject,0.0,rot,0.95,0.332,0.033,0.097,0.0,0.33,1.2,2.4,273.4,3.9,9.1,none,0,0.0,0.0
rot5.jpg,,reject,0.0,rot,0.95,0.368,0.051,0.087,0.0,0.349,0.8,3.8,259.4,4.1,9.0,none,0,0.0,0.0
rot6.jpg,,reject,0.0,browning;rot,0.95,0.393,0.291,0.112,0.001,0.29,-2.8,7.3,54.1,1.4,-1.6,none,0,0.0,0.0
rot7.jpg,,reject,0.0,browning;rot,0.95,0.342,0.24,0.045,0.0,0.264,-4.8,9.0,66.2,2.0,-3.1,sprouting,2,0.195,0.1434
